benchmark,assign,add,sub,mul,mul_const,div,div_const,mod,cmp,logical,bitwise,unary,if,loop_for,call
2mm,310482,300000,0,443200,0,0,0,0,0,0,0,0,0,305280,0
3mm,556733,540000,0,540000,0,0,0,0,0,0,0,0,0,548430,0
adi,835294,1883842,1902480,269120,1883844,538240,7,0,0,0,0,538242,0,542920,0
atax,29242,28768,0,28768,0,0,0,0,0,0,0,0,0,29008,0
bicg,29134,28768,0,28768,0,0,0,0,0,0,0,0,0,14624,0
case01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
case02,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
case03,3,0,2,0,0,0,0,0,1,0,0,0,1,0,0
case04,6,4,0,0,0,0,0,0,0,0,0,0,0,4,0
case05,10,6,0,6,0,0,0,0,0,0,0,0,0,8,0
case06,2,0,0,0,0,0,0,0,2,1,4,0,1,0,0
case07,3,2,0,0,0,0,1,1,0,0,0,1,0,0,0
case08,5,3,0,0,0,0,0,0,0,0,0,0,0,3,3
case09,7,4,0,0,0,0,0,0,0,0,0,0,0,4,0
case10,7,5,0,0,5,0,0,0,0,0,0,0,0,5,0
cholesky,361,0,0,0,0,0,0,0,0,0,0,0,0,120,120
correlation,32904,16079,24082,16000,0,8160,0,0,80,0,0,0,80,24339,8080
covariance,16423,8000,8000,0,0,80,0,0,0,0,0,0,0,16260,0
deriche,494803,344066,324,73735,368644,1,0,0,0,0,0,10,0,148480,9
doitgen,496026,450000,0,450000,0,0,0,0,0,0,0,0,0,480525,0
durbin,837,119,119,119,119,0,119,0,0,0,0,121,0,119,0
fdtd-2d,575321,559320,1885720,0,564840,0,0,0,0,0,0,0,0,575200,0
floyd-warshall,5864581,11664000,0,0,0,0,0,0,5832000,0,0,0,5832000,5864580,0
gemm,345121,336000,0,676200,0,0,0,0,0,0,0,0,0,345060,0
gemver,43684,57720,0,86400,0,0,0,0,0,0,0,0,0,43680,0
gesummv,16561,16290,0,16380,0,0,0,0,0,0,0,0,0,8190,0
gramschmidt,10001,4880,0,4800,0,4800,0,0,0,0,0,0,0,9680,80
heat-3d,494001,4199040,3320720,0,2799360,0,0,0,0,0,0,0,0,493960,0
jacobi-1d,9521,28320,18960,0,9440,0,0,0,0,0,0,0,0,9480,0
jacobi-2d,626641,3717120,1872720,0,619520,0,0,0,0,0,0,0,0,626600,0
lu,241,0,0,0,0,0,0,0,0,0,0,0,0,120,0
ludcmp,963,120,1,0,0,120,0,0,0,0,0,0,0,360,0
mvt,29042,28800,0,28800,0,0,0,0,0,0,0,0,0,29040,0
nussinov,181,180,1,0,0,0,0,0,0,0,0,0,0,180,0
polybench,4,2,0,0,0,0,0,0,0,1,0,2,1,0,3
seidel-2d,561721,7797440,3908241,0,0,0,556960,0,0,0,0,0,0,561720,0
symm,14461,9600,0,14400,4800,0,0,0,0,0,0,0,0,4860,0
syr2k,4961,0,0,0,0,0,0,0,0,0,0,0,0,4880,0
syrk,4961,0,0,0,0,0,0,0,0,0,0,0,0,4880,0
trisolv,361,0,0,0,0,120,0,0,0,0,0,0,0,120,0
trmm,9661,4800,0,4800,0,0,0,0,0,0,0,0,0,4860,0
